Column: 3
Axis: Z
Fallback Frames: 0

Inflection point type	Point1	Point2	Point3	Point4	Point5	Point6	Point7	Point8	Point9
Crests	68	92	113	138	162	187	209	232	253
Troughs	81	103	128	152	173	198	221	243	

Crest Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	9.215131	-0.664396	10.653858
Point2	9.209139	-0.602318	10.667082
Point3	9.234715	-0.56122	10.687046
Point4	9.200625	-0.55059	10.665903
Point5	9.188901	-0.451403	10.680716
Point6	9.167413	-0.465616	10.758954
Point7	9.213854	-0.505804	10.804813
Point8	9.254224	-0.47419	10.705412
Point9	9.245678	-0.464096	10.760862

Trough Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	9.22652	-0.632655	10.254239
Point2	9.303837	-0.535298	10.298195
Point3	9.266461	-0.534563	10.245761
Point4	9.235904	-0.531423	10.249683
Point5	9.228564	-0.464365	10.328889
Point6	9.270722	-0.467446	10.336594
Point7	9.288778	-0.550018	10.350186
Point8	9.32375	-0.463582	10.356703
