Column: 3
Axis: Z
Fallback Frames: 0

Inflection point type	Point1	Point2	Point3	Point4	Point5	Point6	Point7	Point8	Point9
Crests	155	196	239	282	326	369	410	448	491
Troughs	178	222	264	305	344	389	429	474	

Crest Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	7.808764	-0.711549	12.835003
Point2	7.883705	-0.728553	12.86197
Point3	7.930049	-0.687183	12.857257
Point4	7.819521	-0.679085	12.690946
Point5	7.872907	-0.67751	12.808125
Point6	7.842404	-0.686392	12.741168
Point7	7.887804	-0.642916	12.785599
Point8	7.905087	-0.525972	12.741718
Point9	7.835948	-0.536418	12.732285

Trough Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	7.490209	-0.802711	11.845779
Point2	7.39558	-0.80536	11.804844
Point3	7.599398	-0.862588	11.825227
Point4	7.540023	-0.762589	11.832335
Point5	7.527911	-0.774514	11.733978
Point6	7.552667	-0.807069	11.749147
Point7	7.475242	-0.794746	11.733883
Point8	7.483474	-0.709171	11.718225
