Column: 3
Axis: Z
Fallback Frames: 0

Inflection point type	Point1	Point2	Point3	Point4	Point5	Point6	Point7	Point8	Point9
Crests	235	385	538	738	919	1090	1275	1434	1617
Troughs	328	472	652	844	1016	1192	1358	1538	

Crest Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	9.126948	-1.073085	12.215935
Point2	8.845721	-1.120188	12.407551
Point3	8.552463	-1.297708	11.999774
Point4	8.58181	-1.249426	12.171333
Point5	8.36584	-1.347038	12.047125
Point6	8.27999	-1.515719	12.080581
Point7	8.310913	-1.28944	12.305751
Point8	8.523445	-0.933113	12.416191
Point9	8.201505	-1.205173	12.139192

Trough Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	8.49829	-1.559989	10.05966
Point2	8.206573	-1.798774	9.850878
Point3	8.071192	-1.598299	9.826224
Point4	8.066932	-1.778863	9.768464
Point5	7.98219	-1.812191	10.005804
Point6	7.944205	-1.802771	9.863446
Point7	8.035342	-1.593382	9.942093
Point8	8.167122	-1.499169	9.823542
