Column: 3
Axis: Z
Fallback Frames: 0

Inflection point type	Point1	Point2	Point3	Point4	Point5	Point6	Point7	Point8	Point9
Crests	98	141	195	241	292	337	391	435	476
Troughs	122	169	215	262	316	368	413	458	

Crest Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	10.803796	-3.352225	10.640981
Point2	10.785235	-3.232547	10.812277
Point3	10.812117	-3.399656	10.482703
Point4	10.76516	-3.322805	10.550118
Point5	10.757964	-3.155215	10.60276
Point6	10.70126	-3.211832	10.571045
Point7	10.73583	-3.31028	10.538541
Point8	10.650641	-3.214628	10.53742
Point9	10.6343	-3.36473	10.44163

Trough Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	10.970153	-3.395929	9.68319
Point2	10.990937	-3.545225	9.604608
Point3	10.905712	-3.483462	9.585191
Point4	10.881087	-3.492133	9.696113
Point5	10.843394	-3.321409	9.728004
Point6	10.850574	-3.52232	9.707066
Point7	10.840663	-3.401842	9.733091
Point8	10.783561	-3.43838	9.704344
